
AUSTRALIAN BUREAU OF STATISTICS (Cat. No. 2064.0 - CDATA Online)

"Statistical Local Area (SLA) and Industry of Employment (ANZSIC06) (IND06P)"
"Counting: Persons, Place of Work"

,"Statistical Local Area (SLA)","Industry of Employment (ANZSIC06) (IND06P)",
,,"9000",0,
,,"9001",8,
,,"9002",15,
,,"9003",3,
,,"9100",0,
,,"9110",0,
,,"9111",5,
,,"9112",8,
,,"9113",9,
,,"9114",8,
,,"9120",0,
,,"9121",3,
,,"9129",3,
,,"9130",0,
,,"9131",3,
,,"9139",0,
,,"9200",0,
,,"9201",0,
,,"9202",0,
,,"9209",10,
,,"R000",14,
,,"9400",6,
,,"9410",0,
,,"9411",3,
,,"9412",5,
,,"9419",6,
,,"9420",0,
,,"9421",0,
,,"9422",8,
,,"9429",29,
,,"9490",0,
,,"9491",3,
,,"9499",3,
,,"9500",0,
,,"9510",0,
,,"9511",21,
,,"9512",6,
,,"9520",3,
,,"9530",0,
,,"9531",3,
,,"9532",0,
,,"9533",7,
,,"9534",0,
,,"9539",3,
,,"9540",22,
,,"9550",4,
,,"9551",5,
,,"9552",0,
,,"9559",7,
,,"9600",0,
,,"9601",0,
,,"9602",0,
,,"9603",0,
,,"S000",0,
,,"9900",186,
,"130150111","&&&&",11,
,,"@@@@",0,
,,"0100",24,
,,"0110",0,
,,"0111",0,
,,"0112",3,
,,"0113",6,
,,"0114",0,
,,"0115",0,
,,"0120",0,
,,"0121",0,
,,"0122",0,
,,"0123",0,
,,"0130",0,
,,"0131",0,
,,"0132",0,
,,"0133",0,
,,"0134",0,
,,"0135",0,
,,"0136",0,
,,"0137",0,
,,"0139",0,
,,"0140",0,
,,"0141",50,
,,"0142",86,
,,"0143",0,
,,"0144",88,
,,"0145",5,
,,"0146",0,
,,"0149",4,
,,"0150",0,
,,"0151",0,
,,"0152",0,
,,"0159",0,
,,"0160",3,
