
AUSTRALIAN BUREAU OF STATISTICS (Cat. No. 2064.0 - CDATA Online)

"Statistical Local Area (SLA) and Industry of Employment (ANZSIC06) (IND06P)"
"Counting: Persons, Place of Work"

,"Statistical Local Area (SLA)","Industry of Employment (ANZSIC06) (IND06P)",
,,"1521",0,
,,"1522",0,
,,"1523",0,
,,"1524",0,
,,"1529",0,
,,"1600",0,
,,"1610",0,
,,"1611",0,
,,"1612",0,
,,"1620",0,
,,"1700",0,
,,"1701",0,
,,"1709",0,
,,"1800",0,
,,"1810",0,
,,"1811",0,
,,"1812",0,
,,"1813",0,
,,"1820",0,
,,"1821",0,
,,"1829",0,
,,"1830",0,
,,"1831",0,
,,"1832",0,
,,"1840",0,
,,"1841",0,
,,"1842",0,
,,"1850",0,
,,"1851",0,
,,"1852",3,
,,"1890",0,
,,"1891",0,
,,"1892",0,
,,"1899",0,
,,"1900",0,
,,"1910",0,
,,"1911",0,
,,"1912",0,
,,"1913",0,
,,"1914",0,
,,"1915",0,
,,"1916",3,
,,"1919",3,
,,"1920",0,
,,"2000",0,
,,"2010",4,
,,"2020",0,
,,"2021",0,
,,"2029",0,
,,"2030",0,
,,"2031",0,
,,"2032",0,
,,"2033",0,
,,"2034",0,
,,"2090",4,
,,"2100",0,
,,"2110",3,
,,"2120",0,
,,"2121",0,
,,"2122",3,
,,"2130",0,
,,"2131",0,
,,"2132",0,
,,"2133",0,
,,"2139",0,
,,"2140",0,
,,"2141",0,
,,"2142",0,
,,"2149",0,
,,"2200",0,
,,"2210",0,
,,"2220",0,
,,"2221",3,
,,"2222",3,
,,"2223",7,
,,"2224",0,
,,"2229",3,
,,"2230",0,
,,"2231",0,
,,"2239",0,
,,"2240",3,
,,"2290",0,
,,"2291",0,
,,"2292",0,
,,"2293",3,
,,"2299",3,
,,"2300",0,
,,"2310",0,
,,"2311",0,
,,"2312",0,
,,"2313",0,
,,"2319",0,
,,"2390",0,
,,"2391",0,
,,"2392",4,
,,"2393",0,
,,"2394",0,
,,"2399",0,
,,"2400",3,
,,"2410",0,
,,"2411",0,
,,"2412",0,
,,"2419",0,
,,"2420",0,
,,"2421",0,
,,"2422",0,
,,"2429",0,
,,"2430",0,
,,"2431",0,
,,"2432",8,
,,"2439",0,
,,"2440",0,
,,"2441",0,
,,"2449",0,
,,"2450",0,
,,"2451",0,
,,"2452",0,
,,"2460",0,
,,"2461",0,
,,"2462",0,
,,"2463",0,
,,"2469",0,
,,"2490",0,
,,"2491",0,
,,"2499",0,
,,"2500",0,
,,"2510",0,
,,"2511",4,
,,"2512",0,
,,"2513",0,
,,"2519",11,
,,"2590",3,
,,"2591",0,
,,"2592",3,
,,"2599",3,
,,"C000",28,
,,"2600",0,
,,"2610",0,
,,"2611",0,
,,"2612",0,
,,"2619",0,
,,"2620",0,
,,"2630",0,
,,"2640",0,
,,"2700",0,
,,"2810",0,
,,"2811",0,
,,"2812",0,
,,"2900",0,
,,"2910",0,
,,"2911",0,
,,"2919",0,
,,"2920",0,
,,"2921",0,
,,"2922",0,
,,"D000",0,
,,"3000",5,
,,"3010",0,
,,"3011",32,
,,"3019",8,
,,"3020",11,
,,"3100",0,
,,"3101",3,
,,"3109",3,
,,"3200",0,
,,"3210",0,
,,"3211",4,
,,"3212",20,
,,"3220",0,
,,"3221",0,
,,"3222",5,
,,"3223",0,
,,"3224",0,
,,"3230",0,
,,"3231",9,
,,"3232",6,
,,"3233",0,
,,"3234",4,
,,"3239",0,
,,"3240",0,
,,"3241",3,
,,"3242",8,
,,"3243",0,
,,"3244",8,
,,"3245",24,
,,"3290",0,
,,"3291",16,
,,"3292",0,
,,"3299",4,
,,"E000",3,
,,"3300",0,
,,"3310",0,
,,"3311",0,
,,"3312",0,
,,"3319",0,
,,"3320",0,
,,"3321",0,
,,"3322",0,
,,"3323",0,
,,"3330",0,
,,"3331",0,
,,"3332",5,
,,"3339",3,
,,"3400",0,
,,"3410",0,
,,"3411",0,
,,"3419",0,
,,"3490",0,
,,"3491",0,
,,"3492",0,
,,"3493",0,
,,"3494",0,
,,"3499",0,
,,"3500",0,
,,"3501",0,
,,"3502",0,
,,"3503",0,
,,"3504",3,
,,"3505",0,
,,"3600",0,
,,"3601",0,
,,"3602",0,
,,"3603",0,
,,"3604",0,
,,"3605",3,
,,"3606",0,
,,"3609",3,
,,"3700",0,
,,"3710",0,
,,"3711",0,
,,"3712",0,
,,"3720",0,
,,"3730",0,
,,"3731",0,
,,"3732",0,
,,"3733",0,
,,"3734",0,
,,"3735",0,
,,"3736",0,
,,"3739",0,
,,"3800",4,
,,"F000",3,
,,"3900",0,
,,"3910",0,
,,"3911",7,
,,"3912",0,
,,"3913",0,
,,"3920",0,
,,"3921",0,
,,"3922",0,
,,"4000",3,
,,"4100",3,
,,"4110",24,
,,"4120",0,
,,"4121",0,
,,"4122",0,
,,"4123",4,
,,"4129",7,
,,"4200",0,
,,"4210",0,
,,"4211",0,
,,"4212",0,
,,"4213",0,
,,"4214",0,
,,"4220",0,
,,"4221",0,
,,"4222",0,
,,"4229",0,
,,"4230",0,
,,"4231",12,
,,"4232",8,
,,"4240",0,
,,"4241",0,
,,"4242",0,
,,"4243",0,
,,"4244",3,
,,"4245",3,
,,"4250",0,
,,"4251",3,
,,"4252",0,
,,"4253",0,
,,"4259",0,
,,"4260",0,
,,"4270",0,
,,"4271",3,
,,"4272",0,
,,"4273",0,
,,"4274",0,
,,"4279",0,
,,"4300",0,
,,"4310",3,
,,"4320",0,
,,"G000",5,
,,"4400",6,
,,"4500",0,
,,"4510",0,
,,"4511",8,
,,"4512",14,
,,"4513",4,
,,"4520",15,
,,"4530",0,
,,"H000",0,
,,"4600",0,
,,"4610",63,
,,"4620",3,
,,"4621",0,
,,"4622",0,
,,"4623",0,
,,"4700",0,
,,"4710",0,
,,"4720",0,
,,"4800",0,
,,"4810",0,
,,"4820",0,
,,"4900",0,
,,"5000",0,
,,"5010",0,
,,"5020",0,
,,"5021",0,
,,"5029",0,
,,"5100",3,
,,"5101",4,
,,"5102",5,
,,"5200",0,
,,"5210",0,
,,"5211",0,
,,"5212",0,
,,"5219",0,
,,"5220",0,
,,"5290",0,
,,"5291",0,
,,"5292",0,
,,"5299",3,
,,"5300",0,
,,"5301",0,
,,"5309",3,
,,"I000",0,
,,"5400",0,
